ΚΩΔ.,Ονομα,2002,2003,2004,2005,2006,2007,2008,2009,2010,20011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
115,ΦΙΛΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),13734.0,13690.0,13148.0,15350.0,14262.0,15220.0,15607.0,15804.0,,14901.0,15114.0,15344.0,14865.0,13846.0,14166.0,14060.0,12540.0,10572,8525,8696,9118,9558
116,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),12563.0,12882.0,12387.0,15580.0,13135.0,14455.0,14676.0,14813.0,,13546.0,13402.0,13784.0,14102.0,13154.0,13501.0,13500.0,12359.0,10737,8750,10528,9125,9425
117,ΝΟΜΙΚΗΣ (ΑΘΗΝΑ),17935.0,18167.0,18061.0,18425.0,18152.0,18622.0,18978.0,18893.0,,18608.0,18879.0,18571.0,18714.0,18223.0,18229.0,18199.0,18219.0,18013,18050,18157,17950,18125
119,ΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),17524.0,17861.0,17721.0,18194.0,17922.0,18372.0,18797.0,18735.0,,18435.0,18715.0,18281.0,18615.0,18058.0,17938.0,17953.0,17965.0,17824,17825,17814,17150,17640
120,ΦΙΛΟΣΟΦΙΑΣ ΚΑΙ ΠΑΙΔΑΓΩΓΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),14179.0,14420.0,13912.0,18338.0,14791.0,15611.0,16222.0,16290.0,,16039.0,16432.0,16133.0,16172.0,15251.0,15380.0,15422.0,14748.0,13333,12800,12909,13420,12330
121,ΝΟΜΙΚΗΣ (ΚΟΜΟΤΗΝΗ),16597.0,16956.0,16773.0,17877.0,17287.0,17851.0,18243.0,18100.0,,17883.0,18276.0,17914.0,18303.0,17546.0,17409.0,17515.0,17465.0,17225,17250,17048,16500,16975
122,ΦΙΛΟΣΟΦΙΑΣ (ΙΩΑΝΝΙΝΑ),13313.0,,,16289.0,13814.0,14978.0,15361.0,15512.0,,14489.0,14821.0,14254.0,14377.0,13647.0,14059.0,14368.0,13319.0,9798,8650,8807,9619,9931
123,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),14292.0,14473.0,14004.0,18162.0,14606.0,15432.0,15962.0,15988.0,,15966.0,16395.0,16601.0,16994.0,16368.0,16357.0,16497.0,16658.0,16166,16475,15427,14520,14770
124,ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),13774.0,15422.0,14895.0,18411.0,15084.0,15743.0,15476.0,15351.0,,14280.0,14677.0,14612.0,15006.0,14701.0,12334.0,14502.0,15117.0,14296,14375,13386,13150,13625
125,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ (ΑΘΗΝΑ),13487.0,,,17625.0,13583.0,14599.0,15001.0,14883.0,,14624.0,15197.0,15324.0,15672.0,15343.0,15579.0,15862.0,15722.0,14682,15025,13240,12620,13120
126,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ,12730.0,13091.0,12463.0,17499.0,13164.0,14194.0,14691.0,14826.0,,14692.0,15419.0,15531.0,15969.0,15170.0,15408.0,15683.0,15722.0,15163,15625,15532,14320,15010
127,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),17916.0,17232.0,17268.0,20136.0,18203.0,18926.0,19519.0,20147.0,,19927.0,19709.0,20229.0,19964.0,19499.0,19326.0,19483.0,19708.0,18633,18385,17832,17635,18320
128,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),14423.0,16205.0,16717.0,18951.0,17678.0,18197.0,18696.0,18856.0,,17806.0,17731.0,16609.0,16860.0,16075.0,14670.0,14915.0,16059.0,15732,16000,16161,15750,16225
129,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),17794.0,17452.0,17300.0,20054.0,18478.0,18923.0,19947.0,20419.0,,20463.0,20244.0,21054.0,20759.0,20206.0,19874.0,19995.0,20039.0,19312,19075,18427,16805,18585
130,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΙΩΑΝΝΙΝΑ),13421.0,15466.0,15872.0,18396.0,16850.0,17637.0,18133.0,18406.0,,16561.0,15916.0,14592.0,14612.0,14606.0,11425.0,12468.0,14267.0,13812,13725,14268,13800,14450
131,ΓΑΛΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),11064.0,,,8996.0,11518.0,11766.0,11511.0,11812.0,,12911.0,11928.0,9273.0,11803.0,12764.0,13331.0,12289.0,10900.0,8844,7100,10615,11430,12220
132,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),12940.0,14949.0,15379.0,18149.0,16505.0,17283.0,17808.0,18066.0,,16249.0,15319.0,13847.0,14146.0,14026.0,10985.0,12060.0,13782.0,13024,12850,13402,12675,13350
133,ΓΑΛΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),9333.0,,,9445.0,11740.0,11892.0,12234.0,11950.0,,12981.0,11143.0,6595.0,5394.0,9472.0,11700.0,6596.0,6834.0,5580,5380,11133,11985,12265
134,ΕΠΙΣΤΗΜΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),13145.0,14309.0,14384.0,18343.0,15571.0,16782.0,17528.0,17877.0,,16481.0,16647.0,15558.0,15723.0,15078.0,12151.0,13116.0,14674.0,14079,14275,14311,13625,14175
135,ΓΕΡΜΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),7564.0,,,7831.0,11899.0,12093.0,11704.0,11618.0,,16012.0,13397.0,14793.0,12907.0,6636.0,11559.0,9818.0,10424.0,10403,6775,10989,11035,11985
136,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΤΗΣ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΠΑΤΡΑ),12441.0,13800.0,13804.0,17434.0,14695.0,16205.0,16900.0,17252.0,,14896.0,14609.0,13992.0,13650.0,13715.0,10396.0,11815.0,13618.0,12680,12325,12487,12420,12940
137,ΓΕΡΜΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),6837.0,,,,11737.0,11875.0,12109.0,13361.0,,17049.0,20026.0,17394.0,12346.0,6682.0,12615.0,11791.0,11310.0,11602,7375,10769,11200,11500
138,ΦΙΛΟΣΟΦΙΚΩΝ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΣΠΟΥΔΩΝ (ΡΕΘΥΜΝΟ),12344.0,,,15528.0,12824.0,14263.0,14516.0,14533.0,,13229.0,12553.0,12465.0,12846.0,12077.0,12612.0,12856.0,11596.0,9688,8400,8168,9135,9170
139,ΙΤΑΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),8588.0,,,,12075.0,12382.0,12426.0,12138.0,,9670.0,6580.0,10955.0,6973.0,5597.0,5652.0,4006.0,5350.0,4016,6340,10783,11460,12500
140,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),14515.0,16868.0,17150.0,19065.0,17836.0,18224.0,18780.0,18887.0,,17710.0,17415.0,16199.0,16345.0,15733.0,13595.0,14148.0,15473.0,15262,15275,15821,15450,16050
142,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),12971.0,15228.0,15604.0,18265.0,16627.0,17403.0,17869.0,18070.0,,15581.0,14506.0,13366.0,13579.0,13576.0,10327.0,11613.0,13318.0,12667,11800,12635,12325,12925
143,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΟΔΟΣ),12684.0,14765.0,15122.0,17995.0,16271.0,17121.0,17688.0,17941.0,,15247.0,13847.0,12687.0,13200.0,12984.0,9887.0,10992.0,12777.0,11872,10900,11529,11125,11925
144,ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΒΙΩΣΙΜΗΣ ΑΝΑΠΤΥΞΗΣ (ΑΘΗΝΑ),14072.0,14611.0,14120.0,18591.0,,15949.0,16419.0,16853.0,,13787.0,13985.0,11584.0,11251.0,12143.0,11737.0,11177.0,10958.0,10379,11100,11844,12148,12451
145,ΙΣΤΟΡΙΑΣ (ΚΕΡΚΥΡΑ),12073.0,12319.0,11895.0,15505.0,12546.0,13895.0,14130.0,14242.0,,12917.0,12306.0,11982.0,12415.0,11910.0,12381.0,12648.0,11268.0,9447,7475,9813,8420,8540
